RTPX7L, G, 0, -inf, -inf, inf
57VQP8, B, 4, 3, 8, 18
5WJZAB, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
99AGNJ, B, 3, inf, 8, 18
57VQP8, B, 4, 8, 8, 18
99AGNJ, B, 3, 8, 8, 18
4W88SH, R, 2, 8, 8, 18
99AGNJ, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
99AGNJ, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
FYJ5GS, G, 3, inf, 8, 18
57VQP8, B, 4, 1, 8, 18
FYJ5GS, G, 3, 1, 8, 18
4W88SH, R, 2, 8, 8, 18
FYJ5GS, R, 3, inf, 8, 18
57VQP8, B, 4, -7, 8, 18
FYJ5GS, R, 3, -7, 8, 18
4W88SH, R, 2, 8, 8, 18
FYJ5GS, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
FYJ5GS, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
G6KWSZ, B, 3, inf, 8, 18
57VQP8, B, 4, 8, 8, 18
G6KWSZ, B, 3, 8, 8, 18
4W88SH, R, 2, 8, 8, 18
G6KWSZ, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
G6KWSZ, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
LYNPT4, B, 3, inf, 8, 18
57VQP8, B, 4, 8, 8, 18
LYNPT4, B, 3, 8, 8, 18
4W88SH, R, 2, 8, 8, 18
LYNPT4, G, 3, inf, 8, 18
57VQP8, B, 4, 1, 8, 18
LYNPT4, G, 3, 1, 8, 18
4W88SH, R, 2, 8, 8, 18
LYNPT4, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
LYNPT4, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
OBP6OQ, B, 3, inf, 8, 18
57VQP8, B, 4, 8, 8, 18
OBP6OQ, B, 3, 8, 8, 18
4W88SH, R, 2, 8, 8, 18
OBP6OQ, G, 3, inf, 8, 18
57VQP8, B, 4, 1, 8, 18
OBP6OQ, G, 3, 1, 8, 18
4W88SH, R, 2, 8, 8, 18
OBP6OQ, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
OBP6OQ, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
SH4601, G, 3, inf, 8, 18
57VQP8, B, 4, 1, 8, 18
SH4601, G, 3, 1, 8, 18
4W88SH, R, 2, 8, 8, 18
SH4601, R, 3, inf, 8, 18
57VQP8, B, 4, -7, 8, 18
SH4601, R, 3, -7, 8, 18
4W88SH, R, 2, 8, 8, 18
SH4601, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
SH4601, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
TI082Q, B, 3, inf, 8, 18
57VQP8, B, 4, 8, 8, 18
TI082Q, B, 3, 8, 8, 18
4W88SH, R, 2, 8, 8, 18
TI082Q, R, 3, inf, 8, 18
57VQP8, B, 4, -7, 8, 18
TI082Q, R, 3, -7, 8, 18
4W88SH, R, 2, 8, 8, 18
TI082Q, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
TI082Q, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
TROFOM, G, 3, inf, 8, 18
57VQP8, B, 4, 1, 8, 18
TROFOM, G, 3, 1, 8, 18
4W88SH, R, 2, 8, 8, 18
TROFOM, R, 3, inf, 8, 18
57VQP8, B, 4, -7, 8, 18
TROFOM, R, 3, -7, 8, 18
4W88SH, R, 2, 8, 8, 18
TROFOM, Y, 3, inf, 8, 18
57VQP8, B, 4, 3, 8, 18
TROFOM, Y, 3, 3, 8, 18
4W88SH, R, 2, 8, 8, 18
3JRRBS, B, 1, 8, -inf, 8
4W88SH, Y, 2, -inf, -inf, 8
57VQP8, B, 3, inf, -inf, 8
5WJZAB, G, 4, 30, -inf, 8
57VQP8, B, 3, 30, -inf, 8
5WJZAB, R, 4, 20, -inf, 8
57VQP8, B, 3, 20, -inf, 8
5WJZAB, Y, 4, 30, -inf, 8
57VQP8, B, 3, 20, -inf, 8
99AGNJ, B, 4, 18, -inf, 8
57VQP8, B, 3, 18, -inf, 8
99AGNJ, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
FYJ5GS, G, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
FYJ5GS, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
FYJ5GS, Y, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
G6KWSZ, B, 4, 18, -inf, 8
57VQP8, B, 3, 18, -inf, 8
LYNPT4, B, 4, 18, -inf, 8
57VQP8, B, 3, 18, -inf, 8
LYNPT4, G, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
LYNPT4, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
OBP6OQ, B, 4, 18, -inf, 8
57VQP8, B, 3, 18, -inf, 8
OBP6OQ, G, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
OBP6OQ, Y, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
SH4601, G, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
SH4601, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
SH4601, Y, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
TI082Q, B, 4, 18, -inf, 8
57VQP8, B, 3, 18, -inf, 8
TI082Q, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
TI082Q, Y, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
TROFOM, G, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
TROFOM, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
TROFOM, Y, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
UD3BEB, G, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
UD3BEB, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
UD3BEB, Y, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
ZHDMMH, G, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
ZHDMMH, R, 4, 20, -inf, 8
57VQP8, B, 3, 18, -inf, 8
ZHDMMH, Y, 4, 30, -inf, 8
57VQP8, B, 3, 18, -inf, 8
4W88SH, Y, 2, 18, -inf, 8
3JRRBS, B, 1, 8, -inf, 8
57VQP8, B, 2, -inf, -inf, 8
4W88SH, G, 3, inf, -inf, 8
5WJZAB, G, 4, 11, -inf, 8
4W88SH, G, 3, 11, -inf, 8
5WJZAB, R, 4, 1, -inf, 8
4W88SH, G, 3, 1, -inf, 1
5WJZAB, Y, 4, 11, -inf, 1
4W88SH, G, 3, 1, -inf, 1
99AGNJ, B, 4, -1, -inf, 1
4W88SH, G, 3, -1, -inf, -1
99AGNJ, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
99AGNJ, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
FYJ5GS, G, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
FYJ5GS, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
FYJ5GS, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
G6KWSZ, B, 4, -1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
G6KWSZ, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
LYNPT4, B, 4, -1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
LYNPT4, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
LYNPT4, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
OBP6OQ, B, 4, -1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
OBP6OQ, G, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
OBP6OQ, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
SH4601, G, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
SH4601, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
SH4601, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
TI082Q, B, 4, -1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
TI082Q, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
TI082Q, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
TROFOM, G, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
TROFOM, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
TROFOM, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
UD3BEB, G, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
UD3BEB, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
UD3BEB, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
ZHDMMH, G, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
ZHDMMH, R, 4, 1, -inf, -1
4W88SH, G, 3, -1, -inf, -1
ZHDMMH, Y, 4, 11, -inf, -1
4W88SH, G, 3, -1, -inf, -1
57VQP8, B, 2, -1, -1, 8
4W88SH, R, 3, inf, -1, 8
5WJZAB, G, 4, 3, -1, 8
4W88SH, R, 3, 3, -1, 3
5WJZAB, R, 4, -7, -1, 3
4W88SH, R, 3, -7, -1, 3
57VQP8, B, 2, -1, -1, 8
4W88SH, Y, 3, inf, -1, 8
5WJZAB, G, 4, 13, -1, 8
4W88SH, Y, 3, 13, -1, 8
5WJZAB, R, 4, 3, -1, 8
4W88SH, Y, 3, 3, -1, 3
5WJZAB, Y, 4, 13, -1, 3
4W88SH, Y, 3, 3, -1, 3
99AGNJ, B, 4, 1, -1, 3
4W88SH, Y, 3, 1, -1, 1
99AGNJ, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
FYJ5GS, G, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
FYJ5GS, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
FYJ5GS, Y, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
G6KWSZ, B, 4, 1, -1, 1
4W88SH, Y, 3, 1, -1, 1
LYNPT4, B, 4, 1, -1, 1
4W88SH, Y, 3, 1, -1, 1
LYNPT4, G, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
LYNPT4, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
OBP6OQ, B, 4, 1, -1, 1
4W88SH, Y, 3, 1, -1, 1
OBP6OQ, G, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
OBP6OQ, Y, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
SH4601, G, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
SH4601, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
SH4601, Y, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
TI082Q, B, 4, 1, -1, 1
4W88SH, Y, 3, 1, -1, 1
TI082Q, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
TI082Q, Y, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
TROFOM, G, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
TROFOM, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
TROFOM, Y, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
UD3BEB, G, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
UD3BEB, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
UD3BEB, Y, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
ZHDMMH, G, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
ZHDMMH, R, 4, 3, -1, 1
4W88SH, Y, 3, 1, -1, 1
ZHDMMH, Y, 4, 13, -1, 1
4W88SH, Y, 3, 1, -1, 1
57VQP8, B, 2, 1, 1, 8
5WJZAB, G, 3, inf, 1, 8
4W88SH, G, 4, 11, 1, 8
5WJZAB, G, 3, 11, 1, 8
4W88SH, R, 4, 1, 1, 8
5WJZAB, G, 3, 1, 1, 8
57VQP8, B, 2, 1, 1, 8
5WJZAB, R, 3, inf, 1, 8
4W88SH, G, 4, 3, 1, 8
5WJZAB, R, 3, 3, 1, 3
4W88SH, R, 4, -7, 1, 3
5WJZAB, R, 3, -7, 1, 3
57VQP8, B, 2, 1, 1, 8
5WJZAB, Y, 3, inf, 1, 8
4W88SH, G, 4, 13, 1, 8
5WJZAB, Y, 3, 13, 1, 8
4W88SH, R, 4, 3, 1, 8
5WJZAB, Y, 3, 3, 1, 3
4W88SH, Y, 4, 13, 1, 3
5WJZAB, Y, 3, 3, 1, 3
99AGNJ, B, 4, 1, 1, 3
5WJZAB, Y, 3, 1, 1, 3
57VQP8, B, 2, 1, 1, 8
99AGNJ, B, 3, inf, 1, 8
4W88SH, G, 4, 18, 1, 8
99AGNJ, B, 3, 18, 1, 8
4W88SH, R, 4, 8, 1, 8
99AGNJ, B, 3, 8, 1, 8
4W88SH, Y, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
5WJZAB, G, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
5WJZAB, R, 4, 8, 1, 8
99AGNJ, B, 3, 8, 1, 8
5WJZAB, Y, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
FYJ5GS, G, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
FYJ5GS, R, 4, 8, 1, 8
99AGNJ, B, 3, 8, 1, 8
FYJ5GS, Y, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
G6KWSZ, Y, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
KNRPFV, G, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
KNRPFV, R, 4, 8, 1, 8
99AGNJ, B, 3, 8, 1, 8
KNRPFV, Y, 4, 18, 1, 8
99AGNJ, B, 3, 8, 1, 8
OBP6OQ, B, 4, 6, 1, 8
99AGNJ, B, 3, 6, 1, 6
OBP6OQ, G, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
OBP6OQ, Y, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
SH4601, G, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
SH4601, R, 4, 8, 1, 6
99AGNJ, B, 3, 6, 1, 6
SH4601, Y, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
T1MPTK, G, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
T1MPTK, R, 4, 8, 1, 6
99AGNJ, B, 3, 6, 1, 6
T1MPTK, Y, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
TI082Q, B, 4, 6, 1, 6
99AGNJ, B, 3, 6, 1, 6
TI082Q, R, 4, 8, 1, 6
99AGNJ, B, 3, 6, 1, 6
TI082Q, Y, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
TROFOM, G, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
TROFOM, R, 4, 8, 1, 6
99AGNJ, B, 3, 6, 1, 6
TROFOM, Y, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
UD3BEB, G, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
UD3BEB, R, 4, 8, 1, 6
99AGNJ, B, 3, 6, 1, 6
UD3BEB, Y, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
ZHDMMH, G, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
ZHDMMH, R, 4, 8, 1, 6
99AGNJ, B, 3, 6, 1, 6
ZHDMMH, Y, 4, 18, 1, 6
99AGNJ, B, 3, 6, 1, 6
57VQP8, B, 2, 6, 6, 8
99AGNJ, R, 3, inf, 6, 8
4W88SH, G, 4, 3, 6, 8
99AGNJ, R, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
99AGNJ, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
99AGNJ, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
99AGNJ, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
FYJ5GS, G, 3, inf, 6, 8
4W88SH, G, 4, 11, 6, 8
